# Accelerometer Data File
# Started @Wed Oct 14 09:10:04 GMT+02:00 2020
#
#
# sensor Vendor: STM
# sensor Name: LSM6DSL Acceleration Sensor
# sensor Resolution: 0.0023942017m/sec^2; Max Range: 78.4532; Min Delay: 2000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.215 5.212 7.788 2
-0.227 5.221 7.786 2
-0.249 5.245 7.771 2
-0.249 5.245 7.767 2
-0.272 5.257 7.774 2
-0.313 5.286 7.778 2
-0.339 5.284 7.783 2
-0.363 5.291 7.798 2
-0.397 5.298 7.822 2
-0.414 5.3 7.822 2
-0.435 5.322 7.841 2
-0.478 5.315 7.879 2
-0.526 5.3 7.925 2
-0.543 5.305 7.939 2
-0.557 5.308 7.951 2
-0.577 5.3 8.001 2
-0.61 5.293 8.039 2
-0.612 5.284 8.056 2
-0.641 5.296 8.102 2
-0.67 5.31 8.157 2
-0.679 5.312 8.193 2
-0.699 5.276 8.253 2
-0.72 5.279 8.279 2
-0.732 5.284 8.296 2
-0.751 5.288 8.327 2
-0.749 5.279 8.348 2
-0.749 5.272 8.365 2
-0.768 5.279 8.389 2
-0.773 5.279 8.396 2
-0.773 5.265 8.437 2
-0.77 5.274 8.447 2
-0.761 5.279 8.458 2
-0.751 5.281 8.499 2
-0.732 5.272 8.535 2
-0.737 5.272 8.549 2
-0.727 5.253 8.59 2
-0.694 5.262 8.597 2
-0.672 5.253 8.59 2
-0.644 5.238 8.593 2
-0.615 5.229 8.6 2
-0.603 5.219 8.607 2
-0.588 5.193 8.616 2
-0.553 5.207 8.614 2
-0.538 5.212 8.624 2
-0.531 5.195 8.628 2
-0.524 5.195 8.631 2
-0.49 5.209 8.626 2
-0.483 5.2 8.638 2
-0.478 5.2 8.652 2
-0.45 5.209 8.674 2
-0.445 5.212 8.696 2
-0.438 5.226 8.696 2
-0.416 5.238 8.703 2
-0.421 5.241 8.715 2
-0.399 5.257 8.734 2
-0.407 5.274 8.729 2
-0.404 5.291 8.729 2
-0.411 5.312 8.755 2
-0.438 5.344 8.77 2
-0.44 5.355 8.77 2
-0.445 5.367 8.775 2
-0.474 5.387 8.775 2
-0.486 5.399 8.775 2
-0.5 5.444 8.775 2
-0.514 5.463 8.772 2
-0.55 5.473 8.758 2
-0.586 5.521 8.736 2
-0.588 5.542 8.717 2
-0.622 5.554 8.715 2
-0.622 5.595 8.724 2
-0.627 5.597 8.724 2
-0.61 5.619 8.715 2
-0.605 5.638 8.672 2
-0.605 5.638 8.672 2
-0.612 5.655 8.655 2
-0.603 5.672 8.645 2
-0.603 5.681 8.638 2
-0.61 5.712 8.614 2
-0.617 5.719 8.602 2
-0.612 5.751 8.585 2
-0.617 5.765 8.571 2
-0.615 5.772 8.557 2
-0.608 5.794 8.559 2
-0.617 5.803 8.557 2
-0.62 5.806 8.549 2
-0.627 5.806 8.569 2
-0.603 5.798 8.588 2
-0.605 5.779 8.597 2
-0.605 5.751 8.628 2
-0.598 5.729 8.65 2
-0.586 5.686 8.707 2
-0.572 5.633 8.76 2
-0.574 5.612 8.803 2
-0.579 5.545 8.897 2
-0.593 5.497 8.976 2
-0.588 5.468 9.009 2
-0.574 5.408 9.067 2
-0.557 5.348 9.134 2
-0.56 5.32 9.153 2
-0.557 5.26 9.198 2
-0.543 5.243 9.217 2
-0.531 5.202 9.265 2
-0.493 5.123 9.299 2
-0.493 5.123 9.299 2
-0.474 5.075 9.323 2
-0.45 5.042 9.311 2
-0.44 5.023 9.304 2
-0.407 4.977 9.282 2
-0.361 4.944 9.265 2
-0.349 4.922 9.246 2
-0.311 4.889 9.227 2
-0.256 4.874 9.191 2
-0.222 4.841 9.158 2
-0.138 4.802 9.091 2
-0.117 4.79 9.062 2
-0.064 4.757 8.978 2
0.007 4.757 8.892 2
0.028 4.759 8.849 2
0.079 4.759 8.77 2
0.143 4.75 8.703 2
0.181 4.747 8.662 2
0.272 4.723 8.6 2
0.368 4.707 8.516 2
0.43 4.697 8.487 2
0.543 4.685 8.418 2
0.581 4.683 8.384 2
0.66 4.687 8.315 2
0.768 4.702 8.253 2
0.811 4.699 8.236 2
0.878 4.685 8.188 2
0.948 4.702 8.142 2
0.976 4.716 8.128 2
1.067 4.762 8.109 2
1.098 4.767 8.097 2
1.122 4.781 8.085 2
1.158 4.788 8.068 2
1.197 4.814 8.061 2
1.218 4.826 8.059 2
1.245 4.86 8.039 2
1.247 4.872 8.039 2
1.261 4.893 8.087 2
1.264 4.903 8.092 2
1.271 4.908 8.111 2
1.273 4.903 8.138 2
1.268 4.913 8.152 2
1.285 4.913 8.166 2
1.307 4.91 8.214 2
1.292 4.898 8.26 2
1.29 4.908 8.293 2
1.283 4.901 8.344 2
1.3 4.879 8.379 2
1.302 4.869 8.401 2
1.288 4.874 8.432 2
1.28 4.872 8.454 2
1.256 4.877 8.497 2
1.23 4.879 8.537 2
1.216 4.881 8.559 2
1.161 4.865 8.605 2
1.115 4.874 8.648 2
1.087 4.877 8.655 2
1.003 4.862 8.707 2
0.94 4.855 8.729 2
0.873 4.855 8.803 2
0.847 4.865 8.815 2
0.821 4.865 8.832 2
0.785 4.838 8.863 2
0.742 4.838 8.875 2
0.715 4.834 8.877 2
0.713 4.824 8.933 2
0.679 4.814 8.952 2
0.663 4.81 8.959 2
0.639 4.826 8.971 2
0.629 4.822 8.961 2
0.627 4.807 8.959 2
0.608 4.798 8.964 2
0.617 4.81 8.964 2
0.605 4.798 8.971 2
0.593 4.8 8.988 2
0.596 4.802 8.997 2
0.586 4.786 9.007 2
0.557 4.798 9.038 2
0.548 4.798 9.052 2
0.533 4.776 9.069 2
0.569 4.755 9.083 2
0.588 4.74 9.1 2
0.624 4.719 9.177 2
0.634 4.695 9.229 2
0.644 4.656 9.313 2
0.658 4.62 9.371 2
0.653 4.604 9.407 2
0.663 4.57 9.466 2
0.658 4.544 9.507 2
0.677 4.501 9.548 2
0.677 4.472 9.584 2
0.691 4.446 9.656 2
0.694 4.424 9.694 2
0.694 4.391 9.771 2
0.708 4.348 9.842 2
0.713 4.326 9.871 2
0.732 4.285 9.917 2
0.735 4.271 9.926 2
0.703 4.24 9.969 2
0.713 4.204 10.015 2
0.706 4.173 10.022 2
0.699 4.13 10.027 2
0.701 4.084 10.046 2
0.691 4.065 10.053 2
0.677 4.008 10.039 2
0.658 3.955 10.015 2
0.663 3.938 9.996 2
0.648 3.881 9.943 2
0.608 3.83 9.883 2
0.591 3.794 9.84 2
0.567 3.749 9.766 2
0.553 3.737 9.713 2
0.526 3.701 9.62 2
0.505 3.67 9.51 2
0.505 3.648 9.45 2
0.483 3.622 9.323 2
0.476 3.598 9.177 2
0.474 3.589 9.103 2
0.476 3.598 8.966 2
0.474 3.598 8.739 2
0.474 3.598 8.739 2
0.493 3.608 8.581 2
0.498 3.636 8.432 2
0.514 3.651 8.365 2
0.538 3.67 8.241 2
0.557 3.689 8.178 2
0.569 3.72 8.059 2
0.581 3.747 7.946 2
0.608 3.766 7.901 2
0.636 3.794 7.793 2
0.679 3.833 7.699 2
0.715 3.854 7.666 2
0.737 3.878 7.575 2
0.78 3.885 7.527 2
